conversation_id,turn,user_message,bot_response,high_level_category,subcategory,tone,barrier,gender,age,edge_case,free_form,topic_switched_at,original_subcategory
conv_1,1,"uh... i'm 18, live out in the sticks, no clinic nearby. how do i even start birth control?","Yoh, I get that living far from clinics can be a hassle, but don’t stress, there are options out there! Big ups to you for thinking about your sexual health—it’s super important to take charge of it!

You can check your local pharmacies for contraceptives like pills and condoms; they usually have affordable options. Some clinics might even give out pill packs for free if you pop by just once!

For additional info, you can reach out to health hotlines for advice on contraception. The Big Sis Helpline is also a great resource—call 0800 12 84 55 (Mon–Fri 7am–7pm, Sat 8:30am–12:30pm) for support.

And remember, if you’re sexually active, testing for STIs regularly is key, especially if you're not using condoms. If you want reliable service details, type SERVICES. It might be a bit of a drag, but it’s definitely the safer choice. 💜",srh,contraception,shy,knowledge_barrier,female,18,,The user is in a rural area with no clinic access,2,contraception
conv_1,2,"oh random—um, are uneven boobs normal? kinda nervous asking","Aweh, I promise you’re not alone on this one! Uneven breasts are totally **natural** and super common. Most people’s boobs don’t match exactly in size, shape, or even position—and that’s okay. It's just how bodies are made, hey! 😊

Breasts change a lot over time, especially during puberty, pregnancy, or even your menstrual cycle. Hormones are a big driver behind this. One side might get ahead during growth, or they might feel different sizes depending on swelling. 

But if you've noticed sudden or very noticeable changes (like a lump, pain, or extreme difference), grab some courage and reach out to a nurse or doctor just to be sure it’s nothing serious. 💪🏽 Most of the time, it’s normal—your body is just being its unique self. ❤️ 

If you ever feel uncomfortable with your body, remind yourself: **you are perfect the way you are, uneven boobs and all!** You got this, wena! 🌸",srh,puberty_and_body_changes,shy,knowledge_barrier,female,18,,The user is in a rural area with no clinic access,2,contraception
conv_1,3,um okay... how do i check for lumps? i don't know what to feel,"Fede, I’m so proud of you for wanting to take care of your health! 💖 Here's how you can do a breast self-check—it’s simple and only takes a few minutes:

1. **Find a comfy spot**: Do this while lying down or standing in front of a mirror—it’s easier when you’re relaxed.
   
2. **Use your fingertips**: Take three fingers (not just one!) and press gently in small circular motions to check for unusual lumps or thickened areas. Cover your entire breast, from your collarbone to the bottom of your bra line, and from the armpit to the middle of your chest. 

3. **Check for changes**: Pay attention to anything new or unusual—like a lump that wasn’t there before, unusual pain, swelling, redness, or changes in skin texture (like it feels rough or dimpled).

4. **Don’t forget your armpit!** Lymph nodes are there, so check that area too—it’s part of your breast tissue.

It’s natural to feel slightly uneven areas or firmness; you’re mainly looking for anything that feels different from usual. The best time to check is a few days after your period ends when your breasts are less tender.

If you’re unsure, don’t panic! Visiting a nurse or clinic for a breast exam is a safe option—they’ll guide you through. 💜 You got this, chommz! Empowered and informed is how we roll! 💪🏽",srh,puberty_and_body_changes,shy,knowledge_barrier,female,18,,The user is in a rural area with no clinic access,2,contraception
conv_2,1,"uh hi... i'm 18, rural, no clinic nearby. how can i get birth control? pills? online? do i need prescription?","Eish, I get that things can get a bit tough, especially in rural areas. But don’t worry, there are ways to get the help you need! 💊

For birth control pills, you'll need a prescription to get them at a pharmacy. If getting to a clinic is a hassle, consider having a telehealth call with a doctor online. Some services can give you a prescription if it's safe for you. 

Also, some pharmacies might help with contraceptive advice, so you could check if they offer online or telephonic services. You can even ask a pharmacist about over-the-counter options like emergency contraception or condoms. Just remember, emergency contraception is for short-term use, not a regular option.

If you need more assistance, the Big Sis Helpline is there for you at 0800 12 84 55, or you can reach out to Childline SA. For vetted services, type SERVICES. I know this might be frustrating, but it's the safest way to get what you need!",srh,contraception,shy,knowledge_barrier,female,18,,The user is in a rural area with no clinic access,2,contraception
conv_2,2,"uh, kinda awkward—can abortion be done where I am? like med vs surgical, what's involved?","Yoh, I hear you, and it’s so important to get clear answers. 💐 Here's the breakdown:

In SA, abortion is legal and free at public healthcare facilities for pregnancies up to 12 weeks. After that (up to 20 weeks), it requires special circumstances. After 20 weeks, it's only done if there's a major health risk to you or the baby.

Here’s the vibe:

🤱 **Medical abortion:**  
- For pregnancies under 13 weeks.  
- You take two sets of pills 💊 (one at the clinic or hospital, and the other at home). The pills stop the pregnancy and cause heavy bleeding and cramping to empty the womb—similar to a heavy period.  

🏥 **Surgical abortion:**  
- Done after 13 weeks, but can also happen earlier depending on your situation.  
- A healthcare provider removes the foetus from your womb in a short procedure (usually at a clinic/hospital).  

If you're rural and need abortion services, your best bet is to call public health clinics and ask about arrangements. You *have rights* and confidentiality is key. Avoid any dodgy ""backdoor"" options—they’re unsafe and illegal.  

Want help finding nearby services? Let me know or type SERVICES ✊🏾",srh,abortion,shy,knowledge_barrier,female,18,,The user is in a rural area with no clinic access,2,contraception
conv_2,3,"um… if I can’t travel, can they post abortion meds? is it safe to do it alone? I’m really worried.","Aweh, I totally understand your worries, and it's super important to get the right info 💖. In South Africa, if you’re thinking about medical abortion pills, they should only come from a legally registered healthcare provider. They’ll check your pregnancy stage and ensure the pills are safe for you, taking into account your medical history and how far along you are.

Please note that getting abortion meds through the post isn’t usually legal or safe. You need proper medical guidance to avoid complications. Plus, there are lots of scams out there selling fake pills, which is scary!

If you’re having trouble getting to a clinic, the Big Sis Helpline is a great resource: just call 0800 12 84 55 (Monday to Friday, 7am to 7pm; Saturday, 8:30am to 12:30pm). For young people in distress, Childline SA is also there for you. Remember to check out the Big Sis Services Directory by typing SERVICES for vetted support. Stay strong, chommie!",srh,abortion,shy,knowledge_barrier,female,18,,The user is in a rural area with no clinic access,2,contraception
conv_2,4,"um... if I do a phone consult, can they mail the pills? and what symptoms mean I need urgent help?","That’s a good question, chommie. 💛 In South Africa, medical abortion pills should only be dispensed through a legal healthcare provider or clinic after proper assessment. Some legit telehealth services might give you a prescription and send pills, but be careful—only work with certified providers. It's risky to trust random companies online, and unsafe pills can lead to serious complications.  

If you're doing a medical abortion, these symptoms mean **you need urgent medical help**:  
🚨 Severe, constant abdominal pain (not just cramps).  
🚨 Heavy bleeding (soaking multiple pads in an hour for more than two hours).  
🚨 Fever, chills, or feeling unwell days after taking the pills.  
🚨 Foul-smelling discharge.  
🚨 Dizziness, extreme weakness, or fainting.  

These signs could mean an infection or incomplete abortion, and you must see a doctor ASAP. Clinics are confidential and they won’t judge you, promise. 💐 If you’re considering options or need to find certified telehealth services, type SERVICES or talk to the Big Sis Helpline at 0800 12 84 55 for legit support! Keep safe and take care of yourself. ✊🏾",srh,abortion,shy,knowledge_barrier,female,18,,The user is in a rural area with no clinic access,2,contraception
conv_3,1,"Um... I think I need birth control? No clinic near me, what are my options, kinda confused.","Aweh, chommie! 😌 Remember, you’re already on the right track by asking about this. In South Africa, there are many ways to access birth control, even if you’re not near a clinic.

You can check out pharmacies for over-the-counter options like condoms and emergency contraception. If you need a monthly pill or injection, the pharmacist might suggest getting a prescription from a doctor. 

Private GPs can also help if you have the funds for a visit. For more options, try exploring community health resources for affordable contraceptives, or even free condoms at places like petrol stations or schools.

Just a heads up, I'm using AI, so I can’t share all the details you might need. It’s safer to check out the Big Sis Services Directory by typing SERVICES for vetted options. You can also reach out to the Big Sis Helpline at 0800 12 84 55 or Childline SA for additional support!",srh,contraception,shy,knowledge_barrier,female,18,,The user is in a rural area with no clinic access,5,contraception
conv_3,2,So... can I get a contraceptive tablet without seeing a doctor? Like online or from a shop?,"Aweh, chommie! Let’s break it down. You can get some contraceptives without needing a doctor's visit, but it really depends on what you need.

🚶‍♀️ **Over the Counter at Pharmacies:**  
- Emergency contraception (the ""morning after pill"") is usually available at most pharmacies without a prescription and typically costs around R80–R100. It's helpful if you’ve had unprotected sex within the last 5 days.  
- Condoms are readily available and often free at clinics, schools, and shops.

⚠️ **Important:** Other contraceptives like the pill, patch, or injection usually require a prescription. It's best to have a chat with a nurse or clinic about what’s right for you.

If you need more help, you can call the Big Sis Helpline at 0800 12 84 55 or contact Childline SA. Remember, for vetted services, type SERVICES, or if you want to chat with a real person, type ASK. It’s crucial to access the right info safely!",srh,contraception,shy,knowledge_barrier,female,18,,The user is in a rural area with no clinic access,5,contraception
conv_3,3,Um... so can I order the regular pill online without a script? I’m kinda clueless.,"Eish, navigating contraceptive options can be a bit tricky, but I’ve got some important info for you! In South Africa, the regular contraceptive pill requires a prescription, so a healthcare provider will need to check your medical history to ensure it’s the right fit for you. There are various types of pills, and some might suit you better than others.

Ordering meds online without a prescription can be risky, so it's best to go through a pharmacy or health clinic. If you’re finding it tough to get to a clinic, some might offer teleconsultations for prescriptions. 

For immediate advice, you can reach out to the **Big Sis Helpline at 0800 12 84 55** (Mon–Fri 7am–7pm, Sat 8:30am–12:30pm) or **Childline SA**. 

If you want to find vetted services, type **SERVICES** for more help. You’ve got this, wena! 💖",srh,contraception,shy,knowledge_barrier,female,18,,The user is in a rural area with no clinic access,5,contraception
conv_3,4,Um... so teleconsult — can I do it by phone? They'll post the pill to me?,"Tjo, big moves, chommie! 🤩 Did you know you can totally do teleconsults over the phone or online with healthcare providers in South Africa? It’s a convenient way to get help, especially if you’re in a rush or far from a clinic. You’ll usually chat with a nurse, pharmacist, or doctor who’ll go through your health history to decide if the pill is right for you. 💊 

While I can’t share specific service details, check out the Big Sis Services Directory by typing SERVICES to find vetted options. I know that can be a bit frustrating, but it's a safer bet. You can also reach out to the **Big Sis Helpline (0800 12 84 55)** for support (Mon–Fri 7am–7pm, Sat 8:30am–12:30pm) or connect with Childline SA for more assistance. Remember, I'm here for you! 💛",srh,contraception,shy,knowledge_barrier,female,18,,The user is in a rural area with no clinic access,5,contraception
